AccountNumber,Amount,Time,Location,DeviceType,TransactionType,PreviousTransactions,AccountAge,TransactionFrequency,Fraud
950376426,730.93,53.67365506816178,Online,Mobile,Transfer,3,166,49,0.0
267514520,992.24,53.17453261250175,Online,Desktop,Withdrawal,10,279,17,0.0
183956684,93.3,70.574954697117,Online,Tablet,Purchase,1,2018,37,0.0
203212672,1991.77,88.04116493585408,Online,Desktop,Desposit,6,530,35,1.0
623370220,888.22,26.370675644581617,ATM,Mobile,Withdrawal,3,1622,36,0.0
287335849,195.17,37.79287574085841,Branch,Desktop,Deposit,7,1688,15,0.0
583287084,600.87,64.48499229892926,Online,Mobile,Withdrawal,3,1681,11,0.0
341122197,970.12,45.12797078805073,Branch,Desktop,Deposit,4,3641,41,0.0
283838917,949.4,47.23186700111079,ATM,Mobile,Withdrawal,7,138,24,0.0
524028445,925.15,53.90695920928144,Branch,Mobile,Withdrawal,2,2455,2,0.0
761545140,130.82,47.51308873816453,Branch,Desktop,Withdrawal,4,2797,10,0.0
169863058,115.53,45.86534838876724,ATM,Mobile,Deposit,3,3344,35,0.0
404706582,1766.11,76.80922513959186,Online,Desktop,Desposit,2,430,55,1.0
738597497,326.85,69.01190685753008,Branch,Mobile,Deposit,5,2796,7,0.0
225570748,145.52,54.920188479927994,ATM,Desktop,Deposit,9,3082,5,0.0
287198358,35.16,65.42109952567876,Branch,Desktop,Withdrawal,7,2243,27,0.0
509143319,35.39,47.12552480599644,Online,Mobile,Purchase,10,3386,41,0.0
997739017,434.7,56.713400764504655,Online,Tablet,Deposit,6,1533,46,0.0
226939090,804.82,45.63280263959405,ATM,Tablet,Deposit,9,2159,18,0.0
983230923,447.12,47.751440181919214,Branch,Mobile,Transfer,6,3201,2,0.0
886710593,421.99,58.46770775216494,Branch,Mobile,Deposit,8,931,27,0.0
805586938,35.1,48.67366253617426,Branch,Mobile,Withdrawal,2,1908,17,0.0
445680015,804.18,41.494795457907,Online,Mobile,Transfer,3,1992,5,0.0
650445694,285.86,54.68774256075024,ATM,Mobile,Purchase,2,423,23,0.0
380375210,237.66,56.979032725390276,Online,Mobile,Transfer,5,444,44,0.0
791083697,199.95,52.57752540142751,Branch,Tablet,Withdrawal,5,2046,20,0.0
714963071,216.43,49.06613141100052,Branch,Tablet,Withdrawal,3,3110,19,0.0
139976557,601.44,60.97152711753696,ATM,Desktop,Transfer,4,3611,12,0.0
551842523,159.55,50.819955564135604,ATM,Desktop,Purchase,9,2801,12,0.0
237423926,138.22,53.27879524159357,ATM,Tablet,Withdrawal,3,2148,25,0.0
035113623,494.53,63.40461051790348,Branch,Desktop,Deposit,4,3258,27,0.0
564166455,281.42,50.72036861283745,Branch,Desktop,Deposit,12,3256,2,0.0
677197169,344.24,38.80382566710989,Branch,Desktop,Deposit,5,2586,4,0.0
628270016,693.75,60.44811033719469,ATM,Desktop,Transfer,3,695,86,1.0
498938261,161.01,50.19147777415752,Branch,Desktop,Deposit,7,273,48,0.0
380843036,449.67,66.04639014549444,Branch,Desktop,Transfer,1,353,81,1.0
219055806,169.07,48.96778247067504,ATM,Desktop,Purchase,3,3193,27,0.0
847086953,292.02,48.053027038833186,Branch,Desktop,Withdrawal,5,1682,5,0.0
910249906,103.04,45.683796872819514,Branch,Tablet,Transfer,2,670,24,0.0
317204079,22.03,60.32546204341657,ATM,Mobile,Transfer,7,2754,40,0.0
132202678,716.95,70.12270445700764,Online,Mobile,Transfer,6,211,3,0.0
570751724,420.48,55.844129804724844,Branch,Desktop,Transfer,3,528,35,0.0
070015807,58.03,55.624632716578446,Branch,Tablet,Purchase,6,706,26,1.0
359117112,146.15,49.643585177025166,Branch,Mobile,Purchase,6,3208,47,0.0
454899204,864.7,89.26237706436326,Branch,Tablet,Deposit,4,1886,43,0.0
341278523,740.52,47.40453322416083,Online,Mobile,Transfer,6,2099,21,0.0
367614103,942.05,66.39964529371393,ATM,Tablet,Withdrawal,3,1566,49,0.0
964310509,153.45,57.660802783846904,Branch,Tablet,Transfer,5,607,44,0.0
843684208,172.62,38.19187184691155,Branch,Tablet,Deposit,4,764,6,0.0
131579314,981.37,56.51136241823657,Online,Mobile,Transfer,8,3259,32,0.0
195838838,69.75,28.99973492348376,Branch,Desktop,Withdrawal,5,540,32,0.0
768602063,834.12,46.77320161157864,ATM,Desktop,Transfer,5,1188,23,0.0
299006263,662.33,50.34152417488025,ATM,Mobile,Withdrawal,3,1695,14,0.0
723920916,935.02,57.19757942148182,Online,Mobile,Purchase,4,2878,23,0.0
774110340,189.62,58.760467925297945,Branch,Tablet,Deposit,4,235,10,0.0
084458322,506.5,46.33175588185313,Online,Tablet,Purchase,5,637,24,0.0
835716435,94.5,69.76440584515485,ATM,Mobile,Purchase,4,2069,31,0.0
901849985,984.14,54.09762795959497,ATM,Desktop,Withdrawal,9,2615,4,0.0
590901813,102.96,66.25958915362062,ATM,Tablet,Deposit,4,2417,7,0.0
488240628,802.58,39.83316871423503,Online,Mobile,Deposit,5,514,37,0.0
156615180,40.2,45.35382702701607,ATM,Desktop,Purchase,3,866,34,0.0
914714943,604.51,45.211625439915956,ATM,Mobile,Transfer,3,638,12,0.0
719551135,96.99,46.70552213652908,ATM,Mobile,Deposit,5,2140,15,0.0
631627376,331.94,43.50234773151733,Branch,Tablet,Deposit,2,3304,40,0.0
120874488,403.01,67.34936575836808,Online,Desktop,Deposit,7,538,39,0.0
599696264,515.64,60.88748619704186,Branch,Tablet,Purchase,5,1479,6,0.0
667408839,1907.76,82.29591414023685,ATM,Desktop,Transfer,6,157,89,1.0
227453236,504.15,62.41493688138517,Online,Tablet,Withdrawal,0,481,34,1.0
603673969,77.16,62.235688824186276,Branch,Tablet,Transfer,5,2253,4,0.0
992372050,307.62,58.278411871552336,ATM,Desktop,Purchase,5,528,79,1.0
750039584,737.72,35.93682536328166,ATM,Mobile,Purchase,2,1068,19,0.0
542791216,589.5,49.04535752910927,Branch,Desktop,Transfer,1,278,16,0.0
013844015,281.31,55.0066572138121,ATM,Tablet,Withdrawal,4,592,7,0.0
754236832,524.96,53.77100393902187,Online,Desktop,Withdrawal,11,1552,37,0.0
969110931,485.78,45.82633186394916,Branch,Desktop,Purchase,3,3276,15,0.0
832785094,571.87,57.56788679986982,Branch,Desktop,Purchase,8,96,4,0.0
128581737,1228.97,90.35103476331246,Online,Desktop,Purchase,10,464,18,1.0
089599338,318.7,48.704827531365595,Online,Tablet,Withdrawal,6,2559,25,0.0
783461679,663.38,61.48637349428715,ATM,Desktop,Purchase,6,2615,9,0.0
788753246,590.37,47.333476707655855,ATM,Desktop,Withdrawal,5,2728,35,0.0
910309947,237.71,61.24353359870503,ATM,Desktop,Purchase,5,2204,45,0.0
846381418,785.82,48.487267163464885,Online,Tablet,Transfer,2,2236,2,0.0
572027700,885.36,33.6952675628486,ATM,Desktop,Purchase,6,3005,44,0.0
231937163,366.59,47.410950262959226,Online,Desktop,Withdrawal,4,3388,13,0.0
797763248,736.28,39.788375424396996,Branch,Desktop,Purchase,4,3426,18,0.0
901330009,322.99,54.82066727335386,Branch,Mobile,Purchase,7,3634,1,0.0
367056097,868.62,54.32959825360696,Online,Desktop,Transfer,5,3465,18,0.0
941654143,254.6,99.03244488786476,Branch,Tablet,Withdrawal,3,585,29,1.0
314374423,976.09,54.891871301476634,Branch,Desktop,Withdrawal,11,616,48,0.0
192123653,986.14,44.512750922590385,ATM,Desktop,Deposit,6,3016,39,0.0
913071477,1771.98,61.54653707823479,Branch,Tablet,Purchase,5,540,26,1.0
116323411,115.91,49.49795382958255,Branch,Mobile,Transfer,5,2173,19,0.0
619291680,171.31,60.01046092567141,ATM,Tablet,Withdrawal,7,1063,27,0.0
479652836,722.63,37.11417427632651,Branch,Tablet,Purchase,2,553,29,1.0
854443424,1573.8,72.92911907335902,Online,Mobile,Desposit,3,573,22,1.0
198472338,697.75,40.757668557316954,Online,Desktop,Transfer,9,1590,30,0.0
975514715,764.66,44.153822693428005,Branch,Desktop,Withdrawal,4,848,38,0.0
422753074,1898.54,81.79655731869231,ATM,Desktop,Withdrawal,6,387,30,1.0
658483894,634.83,60.80048065714649,ATM,Desktop,Withdrawal,4,3036,15,0.0
467155981,1688.12,51.23341591926501,Branch,Mobile,Transfer,1,261,66,1.0
530534208,189.42,40.056506253914876,ATM,Tablet,Transfer,8,3600,11,0.0
946809709,709.18,43.87562625359562,ATM,Desktop,Transfer,6,1848,3,0.0
959506911,264.21,57.45005312877281,Branch,Desktop,Withdrawal,4,3421,4,0.0
523447239,523.15,61.39878561129045,ATM,Tablet,Purchase,6,1172,45,0.0
666608054,926.31,37.06727042128836,ATM,Desktop,Deposit,7,2740,26,0.0
865618146,637.67,50.382379949600285,Branch,Mobile,Purchase,4,2654,3,0.0
766831023,317.87,57.22381357827771,Online,Desktop,Withdrawal,3,3472,43,0.0
936108968,945.32,54.966992232365214,Online,Mobile,Purchase,2,3425,5,0.0
937060524,246.04,83.09658342478474,Branch,Mobile,Transfer,5,466,82,1.0
409950886,397.0,41.536840225342644,ATM,Mobile,Transfer,8,2643,33,0.0
235133596,621.97,53.496500472996935,Online,Mobile,Transfer,5,1679,12,0.0
387856253,249.43,56.93105607263144,Online,Mobile,Transfer,3,2542,25,0.0
096007177,580.53,43.5851309095569,ATM,Mobile,Deposit,3,1687,48,0.0
040697614,104.76,49.31365953914531,ATM,Mobile,Purchase,7,2880,31,0.0
394215455,745.28,54.148655003619105,Online,Desktop,Purchase,4,3392,29,0.0
171031630,156.86,30.7232742065439,Branch,Mobile,Transfer,4,267,2,0.0
092591570,594.92,61.87679388461564,ATM,Desktop,Purchase,2,3101,29,0.0
272253391,83.3,50.14688194729197,Branch,Mobile,Withdrawal,5,1388,31,0.0
698905559,274.36,42.904201452508275,Branch,Mobile,Transfer,2,2027,18,0.0
550685601,859.83,48.398672044333594,ATM,Mobile,Transfer,3,2222,12,0.0
779664276,122.34,61.64739354457171,ATM,Desktop,Withdrawal,12,2740,9,0.0
876464706,45.58,49.758043936090836,ATM,Tablet,Purchase,4,606,10,0.0
891364648,622.07,50.599326302663286,ATM,Mobile,Transfer,3,340,39,0.0
199896651,830.59,44.42576946891679,ATM,Tablet,Withdrawal,3,2862,12,0.0
564032113,965.47,58.451579711843216,ATM,Mobile,Purchase,5,1383,19,0.0
738055660,278.64,53.81158384882778,ATM,Desktop,Purchase,4,3147,8,0.0
878921338,653.46,40.77589815501497,ATM,Desktop,Withdrawal,7,394,42,0.0
410594143,872.75,48.06340540720282,Online,Desktop,Deposit,4,2913,35,0.0
953527989,878.57,41.89747562985619,ATM,Mobile,Deposit,6,3441,23,0.0
036148804,831.92,44.02489805308358,ATM,Mobile,Purchase,7,2393,23,0.0
895276689,331.34,27.617687666750278,Branch,Mobile,Deposit,9,2408,18,0.0
697570334,694.98,66.2467845846956,Online,Mobile,Purchase,4,210,6,0.0
389463816,112.09,46.80946064333382,Branch,Desktop,Transfer,5,275,2,0.0
611313950,1735.45,56.75164314980957,Branch,Desktop,Purchase,6,323,46,1.0
897581626,547.27,37.757017637106344,Online,Tablet,Withdrawal,4,1742,21,0.0
099589146,120.8,41.669439429992416,Online,Tablet,Withdrawal,4,72,47,0.0
781345865,990.15,63.1759753560796,Branch,Mobile,Withdrawal,3,1116,20,0.0
201529857,641.18,46.003638143853976,Online,Tablet,Withdrawal,6,2274,30,0.0
823978701,69.66,48.244360545007844,Branch,Tablet,Withdrawal,4,3391,10,0.0
742902215,580.75,55.75205016106566,Online,Tablet,Withdrawal,6,842,4,0.0
678648787,175.81,49.606927123723686,Online,Mobile,Deposit,1,3368,17,0.0
636078211,707.04,28.643257860213044,Online,Mobile,Deposit,13,2950,32,0.0
881836785,601.92,53.088330125989636,Online,Tablet,Purchase,5,968,43,0.0
765228365,940.1,62.38283071433636,Branch,Desktop,Transfer,5,1376,8,0.0
260873266,876.5,102.56404338584079,Branch,Tablet,Purchase,3,288,91,1.0
312912084,335.46,54.07052287124535,ATM,Tablet,Transfer,1,1158,27,0.0
736706220,797.83,46.7767953078866,ATM,Tablet,Transfer,2,3633,28,0.0
537392689,625.87,61.337700968670646,ATM,Desktop,Withdrawal,5,2061,31,0.0
720254509,406.76,54.367385517335094,Branch,Desktop,Withdrawal,3,442,14,0.0
203586993,346.06,52.49308595641729,Branch,Mobile,Deposit,4,3354,27,0.0
249075531,915.72,70.62524919243145,Branch,Tablet,Purchase,2,1047,7,0.0
725664965,676.76,40.471422770639336,ATM,Tablet,Transfer,5,133,37,1.0
736983355,80.54,34.6495975246764,ATM,Mobile,Transfer,3,162,44,0.0
518378928,571.35,41.61414201552769,Branch,Desktop,Purchase,2,2698,13,0.0
707019879,25.3,50.24219456672758,ATM,Tablet,Purchase,5,2274,21,0.0
362770826,878.0,61.40149038521267,Online,Desktop,Transfer,3,2174,31,0.0
904766540,1462.11,76.38959766562509,Online,Desktop,Desposit,3,522,25,1.0
457595026,698.19,57.32492102779802,Branch,Tablet,Transfer,7,1718,11,0.0
665976416,219.92,57.774073527645115,Online,Desktop,Transfer,2,744,11,0.0
632889016,422.06,37.171166751409245,ATM,Desktop,Desposit,2,577,40,1.0
019821730,1883.95,48.185668309297256,ATM,Desktop,Withdrawal,7,408,41,1.0
502575917,486.33,49.2423571346454,ATM,Desktop,Withdrawal,4,3511,13,0.0
717512425,680.79,50.66990717224872,ATM,Desktop,Transfer,8,2096,23,0.0
775828089,961.46,56.86318456956701,Branch,Desktop,Transfer,5,760,22,0.0
043853857,478.48,53.11308673442885,ATM,Mobile,Withdrawal,3,713,33,0.0
297576413,811.42,41.485935657396865,Online,Tablet,Purchase,6,1832,17,0.0
586224829,33.4,36.3168496116719,Branch,Desktop,Purchase,7,1789,10,0.0
345443630,34.34,52.11283692279473,ATM,Mobile,Transfer,4,874,27,0.0
707337394,635.24,56.227112239002686,ATM,Mobile,Purchase,5,599,2,0.0
808633161,575.07,41.807421402785025,Branch,Tablet,Purchase,7,1129,18,0.0
078393078,782.72,61.35620147182944,ATM,Desktop,Deposit,3,475,40,0.0
290385022,485.14,40.51651995775799,Branch,Mobile,Deposit,6,1128,28,0.0
367465335,817.31,54.446026682201406,ATM,Desktop,Purchase,2,3546,23,0.0
973971979,19.67,47.36551783917751,ATM,Desktop,Deposit,5,67,44,0.0
575726490,387.08,43.79152401748884,Online,Desktop,Withdrawal,5,171,34,0.0
294998481,310.1,46.63745261318928,ATM,Desktop,Transfer,6,1548,27,0.0
761654008,758.0,49.96625542589048,Online,Tablet,Deposit,3,2177,30,0.0
260931195,511.08,55.798572852951324,Online,Tablet,Purchase,6,3223,41,0.0
850629186,749.03,49.22162802987198,Online,Desktop,Transfer,6,1855,31,0.0
688421866,610.19,48.14154247807253,ATM,Tablet,Transfer,3,1838,24,0.0
876011470,933.69,76.05327955916721,ATM,Tablet,Purchase,4,715,42,1.0
252342173,792.13,37.30669503453301,ATM,Desktop,Transfer,8,125,30,0.0
329006871,875.15,28.466570801287556,Branch,Desktop,Transfer,3,2786,17,0.0
509976422,990.06,40.9794844564249,Branch,Desktop,Purchase,6,3075,2,0.0
577184203,567.54,109.09402098415597,Online,Desktop,Purchase,11,721,82,1.0
684234394,932.71,67.58620484195134,Branch,Desktop,Deposit,3,1689,29,0.0
852804406,991.34,50.93372374276651,ATM,Desktop,Deposit,4,1801,8,0.0
609399061,729.9,58.539759765522234,Branch,Desktop,Deposit,6,905,25,0.0
331132424,599.68,56.38391925608383,ATM,Tablet,Deposit,3,796,31,0.0
054821121,1163.49,84.50032406758356,Online,Mobile,Transfer,4,439,96,1.0
681446681,746.51,55.57691060725124,ATM,Mobile,Withdrawal,9,3141,12,0.0
316728796,229.89,65.43243528272188,Online,Tablet,Purchase,7,983,25,0.0
529554289,83.81,44.19476550195277,Branch,Mobile,Withdrawal,5,1664,38,0.0
004260012,352.24,50.067998445599976,Online,Mobile,Deposit,4,111,40,0.0
057519911,245.8,40.18834468860318,Online,Desktop,Deposit,8,1444,13,0.0
845842403,616.93,87.34143166293482,ATM,Tablet,Desposit,1,629,71,1.0
480954165,996.37,45.14694164632132,ATM,Tablet,Purchase,8,2370,3,0.0
689467288,811.27,40.00697767705089,Online,Desktop,Purchase,3,2947,49,0.0
112074099,791.8,64.81663402462598,Online,Mobile,Purchase,2,1099,8,0.0
626760215,728.83,53.50630099273559,Branch,Tablet,Purchase,6,2058,40,0.0
579534275,955.78,45.84033072052641,Online,Mobile,Deposit,9,1865,35,0.0
970480249,699.06,39.148494734422016,ATM,Tablet,Withdrawal,3,2545,8,0.0
406537455,522.53,46.97954500510136,Online,Tablet,Transfer,4,2018,31,0.0
541111476,318.6,46.82284903243766,ATM,Tablet,Withdrawal,4,2658,43,0.0
983399039,223.05,42.87826135823956,ATM,Mobile,Deposit,3,2197,21,0.0
949200214,691.25,36.82868080053415,ATM,Tablet,Withdrawal,2,3491,40,0.0
570037324,347.66,33.848681840944906,Branch,Mobile,Transfer,3,2842,15,0.0
274459388,672.79,63.2579664754219,Branch,Tablet,Withdrawal,7,1509,17,0.0
685249136,100.29,47.88869761172305,Branch,Mobile,Withdrawal,7,232,11,0.0
732325381,800.31,46.08241850956178,Branch,Desktop,Purchase,7,2640,5,0.0
092995508,75.83,24.376663412046895,Online,Desktop,Purchase,8,1701,29,0.0
567606544,901.41,41.724097793512804,Online,Mobile,Purchase,5,3380,32,0.0
467309109,771.8,44.494631505084165,Branch,Mobile,Withdrawal,7,1641,47,0.0
183587179,1125.99,66.43559221999324,ATM,Desktop,Withdrawal,5,317,79,1.0
470176857,545.23,55.13907849658915,Online,Desktop,Purchase,5,1672,9,0.0
873009405,270.48,54.2548993324023,Branch,Desktop,Withdrawal,3,2021,8,0.0
158765585,689.81,56.31636545930711,Online,Tablet,Withdrawal,2,29,74,1.0
515696342,944.62,58.11396554491592,Online,Tablet,Purchase,5,578,21,0.0
879980592,635.94,57.307641190665244,ATM,Tablet,Withdrawal,6,2663,48,0.0
335971851,29.0,49.00905699758731,ATM,Mobile,Deposit,1,174,41,0.0
344100043,627.35,47.93388720303953,ATM,Desktop,Purchase,8,2701,39,0.0
697158498,143.81,54.19609972024118,Online,Mobile,Purchase,3,2607,25,0.0
353742679,661.27,51.94107630953358,Branch,Tablet,Withdrawal,2,1884,6,0.0
381554040,778.83,59.41310580767483,Branch,Tablet,Transfer,3,1668,27,0.0
249705534,808.77,35.4244850053507,Branch,Tablet,Purchase,4,76,8,0.0
267246828,148.25,32.96128413173281,Branch,Mobile,Deposit,4,2351,29,0.0
486966453,895.61,44.41698246053969,Online,Desktop,Purchase,5,927,9,0.0
792801140,755.86,67.44051240814198,ATM,Tablet,Transfer,3,529,17,1.0
610548581,82.76,37.038833357501055,Online,Tablet,Withdrawal,9,849,7,0.0
515881582,517.56,30.803268438023437,Branch,Desktop,Purchase,2,142,11,0.0
331756704,921.66,42.37275221433786,Branch,Tablet,Purchase,2,1539,19,0.0
599466347,905.12,55.55604466003449,Branch,Desktop,Deposit,8,890,7,0.0
053220954,352.88,57.441919714999365,Online,Desktop,Withdrawal,4,1815,40,0.0
339798108,232.91,73.31165170205706,Online,Desktop,Transfer,2,431,52,1.0
475377828,61.16,39.99668675394425,ATM,Desktop,Deposit,5,1756,17,0.0
420089216,891.11,62.17158520825497,Branch,Desktop,Purchase,5,2353,42,0.0
605875360,1362.62,77.72402599883313,Branch,Mobile,Withdrawal,3,108,83,1.0
459196003,473.97,59.191541736100014,ATM,Mobile,Withdrawal,2,997,31,0.0
767821697,76.41,41.01215951676872,Branch,Desktop,Purchase,5,1996,4,0.0
185927657,728.01,47.95528779013878,Online,Tablet,Transfer,7,1930,28,0.0
721961633,668.26,44.901933068091175,Branch,Desktop,Withdrawal,4,1031,7,0.0
671577470,646.0,56.77875319530908,ATM,Desktop,Deposit,4,1308,32,0.0
946565703,627.66,63.183023248526695,Branch,Desktop,Withdrawal,7,2095,43,0.0
970882469,595.36,58.82333062323409,ATM,Desktop,Transfer,5,882,14,0.0
012799565,803.08,90.25322257400228,ATM,Tablet,Transfer,5,384,36,1.0
783887255,43.61,52.71495310825648,Online,Mobile,Withdrawal,3,1705,30,0.0
426969511,519.67,34.51381701136253,Branch,Tablet,Transfer,6,2389,45,0.0
877320076,183.09,49.43411511100104,Online,Tablet,Deposit,2,1045,32,0.0
978726928,367.36,31.538121377619063,Branch,Desktop,Purchase,4,415,8,0.0
221047717,543.77,52.52240396426677,Branch,Mobile,Deposit,5,859,5,0.0
552976411,457.8,41.81571334057999,ATM,Mobile,Deposit,7,2318,22,0.0
394037719,507.54,62.18970789793663,ATM,Tablet,Withdrawal,5,1545,21,0.0
594773964,653.7,53.61417317273103,Branch,Mobile,Purchase,10,557,31,0.0
300220060,762.63,40.99379265352131,Branch,Tablet,Purchase,4,3356,23,0.0
293282521,392.87,36.43418195376595,ATM,Mobile,Transfer,5,217,10,0.0
464437299,245.26,47.73521108098473,Online,Tablet,Transfer,2,2208,19,0.0
226946084,357.41,51.68654671966728,ATM,Desktop,Transfer,6,65,43,0.0
746980169,767.23,57.50579167521766,Online,Desktop,Deposit,4,1485,36,0.0
127539114,893.74,40.01939372685587,Branch,Mobile,Withdrawal,3,3240,14,0.0
641132870,70.74,55.723903111756755,Branch,Tablet,Purchase,4,3365,26,0.0
424767538,633.1,44.37831973421698,ATM,Desktop,Withdrawal,10,1073,9,0.0
